         10473134 function calls (10377090 primitive calls) in 10.609 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      128    0.000    0.000    0.001    0.000 _modular.py:570(primitive_roots)
      193    0.000    0.000    0.000    0.000 _modular.py:68(euler_phi)
       64    0.000    0.000    0.001    0.000 _modular.py:697(_primitive_root_deterministic_search)
        1    0.000    0.000    0.000    0.000 _modular.py:724(is_primitive_root)
      129    0.000    0.000    0.001    0.000 _modular.py:773(_is_primitive_root)
      258    0.000    0.000    0.000    0.000 _modular.py:785(<genexpr>)
        2    0.000    0.000    0.000    0.000 _options.py:63(get_printoptions)
        3    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
        7    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       63    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        2    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       49    0.000    0.000    0.000    0.000 _parser.py:176(append)
      3/1    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
        1    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
       52    0.000    0.000    0.000    0.000 _parser.py:240(__next)
        5    0.000    0.000    0.000    0.000 _parser.py:256(match)
       51    0.000    0.000    0.000    0.000 _parser.py:261(get)
        3    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 _parser.py:969(parse)
   148536    0.020    0.000    0.020    0.000 _pocketfft.py:101(_swap_direction)
   185670    0.018    0.000    0.018    0.000 _pocketfft.py:109(_fft_dispatcher)
    37134    0.024    0.000    0.335    0.000 _pocketfft.py:113(fft)
   148536    0.085    0.000    1.279    0.000 _pocketfft.py:213(ifft)
   185670    1.387    0.000    1.481    0.000 _pocketfft.py:51(_raw_fft)
        1    0.000    0.000    1.973    1.973 _poly.py:1010(__call__)
        1    0.000    0.000    0.001    0.001 _poly.py:1495(coeffs)
        1    0.000    0.000    0.000    0.000 _poly.py:353(Int)
     3154    0.001    0.000    0.001    0.000 _poly.py:960(__index__)
     3154    0.001    0.000    0.002    0.000 _poly.py:972(__int__)
        2    0.000    0.000    0.001    0.000 _prime.py:811(factors)
       32    0.000    0.000    0.000    0.000 _shape_base_impl.py:1081(_kron_dispatcher)
       32    0.000    0.000    0.001    0.000 _shape_base_impl.py:1085(kron)
      128    0.000    0.000    0.000    0.000 _shape_base_impl.py:507(_expand_dims_dispatcher)
      128    0.000    0.000    0.001    0.000 _shape_base_impl.py:511(expand_dims)
       70    0.000    0.000    0.000    0.000 _twodim_base_impl.py:163(eye)
     2751    0.009    0.000    0.296    0.000 _ufunc.py:120(jit_lookup)
        2    0.000    0.000    0.000    0.000 _ufunc.py:146(python_calculate)
        4    0.000    0.000    0.000    0.000 _ufunc.py:194(_verify_method_only_call)
        1    0.000    0.000    0.000    0.000 _ufunc.py:20(_assign_ufuncs)
      984    0.000    0.000    0.000    0.000 _ufunc.py:200(_verify_operands_in_same_field)
     3351    0.007    0.000    0.015    0.000 _ufunc.py:302(_view_inputs_as_ndarray)
     2562    0.004    0.000    0.030    0.000 _ufunc.py:323(_view_output_as_field)
        1    0.000    0.000    0.000    0.000 _ufunc.py:35(_determine_dtypes)
      803    0.000    0.000    0.000    0.000 _ufunc.py:36(__init__)
      398    0.001    0.000    0.097    0.000 _ufunc.py:376(__call__)
     1578    0.004    0.000    0.068    0.000 _ufunc.py:391(__call__)
